name,train_mrr,val_mrr,mrr,hit@1,val_hit@1,recall@10,val_recall@10,ndcg@5
"bm25+expand[k10,sum,h1,a0.02]",0.3573,0.3171,0.3412,0.2,0.1875,0.6,0.5625,0.3092
"bm25+expand[k10,sum,h1,a0.05]",0.4186,0.3242,0.3808,0.25,0.1875,0.625,0.625,0.3376
"bm25+expand[k10,sum,h1,a0.1]",0.4122,0.3293,0.3791,0.25,0.1875,0.625,0.625,0.3453
"bm25+expand[k10,sum,h1,a0.2]",0.4034,0.3245,0.3718,0.25,0.1875,0.625,0.5625,0.3354
"bm25+expand[k10,sum,h1,a0.3]",0.3999,0.3207,0.3682,0.25,0.1875,0.6,0.5625,0.3314
"bm25+expand[k10,sum,h1,a0.5]",0.3742,0.2854,0.3387,0.2,0.125,0.65,0.6875,0.3291
"bm25+expand[k10,sum,h1,a0.8]",0.3237,0.3155,0.3204,0.2,0.1875,0.625,0.625,0.3395
"bm25+expand[k10,sum,h1,a1.2]",0.2961,0.2566,0.2803,0.175,0.125,0.575,0.625,0.2829
"bm25+expand[k10,sum,h1,a2.0]",0.2071,0.2285,0.2157,0.1,0.125,0.4,0.4375,0.2307
"bm25+expand[k10,sum,h2,a0.02]",0.3573,0.3189,0.342,0.2,0.1875,0.6,0.5625,0.3101
"bm25+expand[k10,sum,h2,a0.05]",0.39,0.3221,0.3628,0.225,0.1875,0.6,0.5625,0.3315
"bm25+expand[k10,sum,h2,a0.1]",0.3973,0.324,0.368,0.225,0.1875,0.625,0.625,0.3381
"bm25+expand[k10,sum,h2,a0.2]",0.4048,0.3252,0.373,0.225,0.1875,0.625,0.625,0.3401
"bm25+expand[k10,sum,h2,a0.3]",0.3962,0.2973,0.3566,0.175,0.125,0.625,0.625,0.3348
"bm25+expand[k10,sum,h2,a0.5]",0.4239,0.3378,0.3895,0.225,0.1875,0.625,0.625,0.3642
"bm25+expand[k10,sum,h2,a0.8]",0.4105,0.3491,0.386,0.2,0.1875,0.65,0.625,0.37
"bm25+expand[k10,sum,h2,a1.2]",0.4482,0.3246,0.3987,0.25,0.1875,0.65,0.625,0.3854
"bm25+expand[k10,sum,h2,a2.0]",0.3936,0.3542,0.3779,0.225,0.25,0.65,0.625,0.3915
"bm25+expand[k10,mean,h1,a0.02]",0.3456,0.3157,0.3337,0.2,0.1875,0.6,0.5625,0.3058
"bm25+expand[k10,mean,h1,a0.05]",0.3466,0.3175,0.335,0.2,0.1875,0.6,0.5625,0.3095
"bm25+expand[k10,mean,h1,a0.1]",0.3539,0.3201,0.3404,0.2,0.1875,0.625,0.625,0.3152
"bm25+expand[k10,mean,h1,a0.2]",0.3931,0.282,0.3487,0.225,0.125,0.625,0.625,0.3132
"bm25+expand[k10,mean,h1,a0.3]",0.3908,0.2707,0.3428,0.225,0.125,0.625,0.625,0.3168
"bm25+expand[k10,mean,h1,a0.5]",0.3568,0.2276,0.3051,0.175,0.0625,0.65,0.625,0.2804
"bm25+expand[k10,mean,h1,a0.8]",0.276,0.1723,0.2345,0.1,0.0625,0.575,0.5,0.2094
"bm25+expand[k10,mean,h1,a1.2]",0.1578,0.1339,0.1482,0.025,0.0625,0.425,0.3125,0.1452
"bm25+expand[k10,mean,h1,a2.0]",0.1104,0.1063,0.1088,0.025,0.0625,0.35,0.25,0.0892
"bm25+expand[k10,mean,h2,a0.02]",0.3466,0.3157,0.3343,0.2,0.1875,0.6,0.5625,0.3021
"bm25+expand[k10,mean,h2,a0.05]",0.3501,0.317,0.3369,0.2,0.1875,0.6,0.5625,0.3034
"bm25+expand[k10,mean,h2,a0.1]",0.3432,0.3188,0.3334,0.2,0.1875,0.6,0.5625,0.3047
"bm25+expand[k10,mean,h2,a0.2]",0.3708,0.2765,0.3331,0.2,0.125,0.625,0.625,0.31
"bm25+expand[k10,mean,h2,a0.3]",0.395,0.2795,0.3488,0.225,0.125,0.625,0.625,0.3273
"bm25+expand[k10,mean,h2,a0.5]",0.3948,0.2581,0.3401,0.225,0.125,0.625,0.625,0.3213
"bm25+expand[k10,mean,h2,a0.8]",0.3858,0.1907,0.3078,0.2,0.0625,0.625,0.625,0.2917
"bm25+expand[k10,mean,h2,a1.2]",0.3014,0.1563,0.2434,0.125,0.0625,0.575,0.5,0.2316
"bm25+expand[k10,mean,h2,a2.0]",0.2636,0.1341,0.2118,0.1,0.0625,0.475,0.375,0.2018
"bm25+expand[k10,sym,h1,a0.02]",0.3456,0.3157,0.3337,0.2,0.1875,0.6,0.5625,0.3058
"bm25+expand[k10,sym,h1,a0.05]",0.3471,0.3202,0.3363,0.2,0.1875,0.625,0.625,0.3095
"bm25+expand[k10,sym,h1,a0.1]",0.3644,0.3213,0.3472,0.2,0.1875,0.625,0.625,0.3117
"bm25+expand[k10,sym,h1,a0.2]",0.376,0.277,0.3364,0.2,0.125,0.625,0.625,0.3092
"bm25+expand[k10,sym,h1,a0.3]",0.3855,0.2699,0.3393,0.2,0.125,0.65,0.625,0.3057
"bm25+expand[k10,sym,h1,a0.5]",0.3502,0.2448,0.308,0.175,0.125,0.65,0.625,0.2745
"bm25+expand[k10,sym,h1,a0.8]",0.272,0.2088,0.2467,0.125,0.125,0.55,0.4375,0.2345
"bm25+expand[k10,sym,h1,a1.2]",0.164,0.1509,0.1587,0.025,0.0625,0.525,0.375,0.1548
"bm25+expand[k10,sym,h1,a2.0]",0.1462,0.1289,0.1393,0.05,0.0625,0.4,0.375,0.121
"bm25+expand[k10,sym,h2,a0.02]",0.3466,0.317,0.3348,0.2,0.1875,0.6,0.5625,0.3021
"bm25+expand[k10,sym,h2,a0.05]",0.3504,0.319,0.3378,0.2,0.1875,0.6,0.5625,0.3034
"bm25+expand[k10,sym,h2,a0.1]",0.3573,0.3205,0.3426,0.2,0.1875,0.625,0.625,0.3096
"bm25+expand[k10,sym,h2,a0.2]",0.3741,0.3196,0.3523,0.225,0.1875,0.625,0.625,0.3208
"bm25+expand[k10,sym,h2,a0.3]",0.3779,0.2621,0.3316,0.2,0.125,0.625,0.625,0.3127
"bm25+expand[k10,sym,h2,a0.5]",0.3779,0.2529,0.3279,0.2,0.125,0.625,0.625,0.3203
"bm25+expand[k10,sym,h2,a0.8]",0.3794,0.2558,0.33,0.2,0.125,0.625,0.625,0.3074
"bm25+expand[k10,sym,h2,a1.2]",0.3392,0.2014,0.2841,0.15,0.0625,0.6,0.5625,0.2765
"bm25+expand[k10,sym,h2,a2.0]",0.245,0.1861,0.2214,0.075,0.0625,0.575,0.5,0.2342
"bm25+expand[k30,sum,h1,a0.02]",0.3575,0.3201,0.3426,0.2,0.1875,0.6,0.5625,0.3103
