name,train_mrr,val_mrr,mrr,hit@1,val_hit@1,recall@10,val_recall@10,ndcg@5
"rrf+expand[k10,sum,h1,a0.05]",0.5378,0.3869,0.4774,0.35,0.25,0.775,0.6875,0.4391
"rrf+expand[k10,sum,h1,a0.1]",0.5012,0.43,0.4727,0.35,0.3125,0.8,0.6875,0.4631
"rrf+expand[k10,sum,h1,a0.2]",0.4411,0.4324,0.4377,0.325,0.3125,0.675,0.625,0.437
"rrf+expand[k10,sum,h1,a0.3]",0.3979,0.3691,0.3864,0.25,0.25,0.625,0.5625,0.3995
"rrf+expand[k10,sum,h1,a0.5]",0.3459,0.3295,0.3393,0.2,0.1875,0.6,0.5625,0.3513
"rrf+expand[k10,sum,h1,a0.8]",0.2978,0.2993,0.2984,0.2,0.1875,0.525,0.5,0.3182
"rrf+expand[k10,sum,h1,a1.2]",0.2117,0.2702,0.2351,0.125,0.1875,0.45,0.4375,0.2547
"rrf+expand[k10,sum,h1,a2.0]",0.2011,0.2663,0.2272,0.125,0.1875,0.475,0.5,0.2526
"rrf+expand[k10,sum,h2,a0.05]",0.5021,0.4252,0.4713,0.325,0.3125,0.75,0.6875,0.4721
"rrf+expand[k10,sum,h2,a0.1]",0.4181,0.3822,0.4037,0.225,0.25,0.75,0.6875,0.4296
"rrf+expand[k10,sum,h2,a0.2]",0.3841,0.3616,0.3751,0.225,0.25,0.75,0.6875,0.4053
"rrf+expand[k10,sum,h2,a0.3]",0.3529,0.3562,0.3542,0.2,0.25,0.675,0.5625,0.3995
"rrf+expand[k10,sum,h2,a0.5]",0.3536,0.3518,0.3529,0.2,0.25,0.65,0.5625,0.3826
"rrf+expand[k10,sum,h2,a0.8]",0.3473,0.3453,0.3465,0.2,0.25,0.65,0.5625,0.3795
"rrf+expand[k10,sum,h2,a1.2]",0.3535,0.3141,0.3377,0.175,0.1875,0.65,0.5625,0.3719
"rrf+expand[k10,sum,h2,a2.0]",0.3526,0.3106,0.3358,0.175,0.1875,0.65,0.5625,0.3719
"rrf+expand[k10,mean,h1,a0.05]",0.4706,0.4198,0.4503,0.3,0.3125,0.75,0.6875,0.3965
"rrf+expand[k10,mean,h1,a0.1]",0.434,0.4041,0.422,0.275,0.3125,0.775,0.6875,0.3835
